Task ID,Task,Automation Desire Rating,Automation Capacity Rating
14670,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,3.0,3.3333333333333335
14671,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",2.6,3.0
14672,Provide technical guidance or support for the development or troubleshooting of systems.,3.3333333333333335,3.3333333333333335
14673,"Identify system data, hardware, or software components required to meet user needs.",2.5,3.0
14675,Monitor system operation to detect potential problems.,4.0,3.0
14681,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",2.0,2.6666666666666665
14683,Design and conduct hardware or software tests.,3.6,2.5
14686,"Research, test, or verify proper functioning of software patches and fixes.",3.5714285714285716,4.0
14687,"Communicate project information through presentations, technical reports, or white papers.",3.5,3.3333333333333335
14694,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",2.9,3.5
14695,Perform or direct Web site updates.,2.4,3.6666666666666665
14698,Back up files from Web sites to local directories for instant recovery in case of problems.,4.2,4.666666666666667
14700,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",3.0,4.0
14707,Write supporting code for Web applications or Web sites.,2.9,4.666666666666667
14708,Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.,3.2,2.0
14710,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",3.3,4.666666666666667
14713,"Respond to user email inquiries, or set up automated systems to send responses.",3.3,5.0
14714,Develop or implement procedures for ongoing Web site revision.,2.6,4.0
14717,Establish appropriate server directory trees.,3.3,4.333333333333333
14719,Recommend and implement performance improvements.,3.1,4.0
14722,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",2.8,5.0
14723,Monitor security system performance logs to identify problems and notify security specialists when problems occur.,2.9,3.3333333333333335
14731,Back up or modify applications and related data to provide for disaster recovery.,4.2,4.5
14732,"Determine sources of Web page or server problems, and take action to correct such problems.",3.1666666666666665,4.0
14733,"Review or update Web page content or links in a timely manner, using appropriate tools.",3.2857142857142856,4.5
14734,"Monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel.",3.8,3.6666666666666665
14740,"Implement updates, upgrades, and patches in a timely manner to limit loss of service.",3.6,4.666666666666667
14743,"Install or configure Web server software or hardware to ensure that directory structure is well-defined, logical, and secure, and that files are named properly.",4.0,4.5
14744,"Gather, analyze, or document user feedback to locate or resolve sources of problems.",2.6,2.6666666666666665
14749,"Track, compile, and analyze Web site usage data.",3.5,4.5
14750,"Test issues such as system integration, performance, and system security on a regular schedule or after any major program modifications.",3.75,4.5
14758,"Correct testing-identified problems, or recommend actions for their resolution.",3.2857142857142856,4.0
14762,Set up or maintain monitoring tools on Web servers or Web sites.,4.0,4.5
15206,"Configure, monitor, and maintain email applications or virus protection software.",3.875,5.0
15414,Review quality documentation necessary for regulatory submissions and inspections.,3.25,4.333333333333333
15415,Review and update standard operating procedures or quality assurance manuals.,3.4285714285714284,4.0
15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",2.8,3.0
15423,"Document testing procedures, methodologies, or criteria.",2.8333333333333335,5.0
15424,"Direct the tracking of defects, test results, or other regularly reported quality control data.",4.5,5.0
15425,Create and implement inspection and testing criteria or procedures.,3.0,2.3333333333333335
15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",2.8,3.0
15428,Analyze quality control test results and provide feedback and interpretation to production management or staff.,2.5,5.0
15430,Monitor performance of quality control systems to ensure effectiveness and efficiency.,3.125,4.333333333333333
16151,Perform risk assessments to develop response strategies.,3.0,2.0
16152,"Submit project deliverables, ensuring adherence to quality standards.",2.7,2.3333333333333335
16157,Monitor or track project milestones and deliverables.,3.3,2.3333333333333335
16159,"Initiate, review, or approve modifications to project plans.",2.8,3.3333333333333335
16167,"Assign duties, responsibilities, and spans of authority to project personnel.",2.6,2.0
16168,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",3.0,4.5
16170,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",2.8,2.3333333333333335
16171,Develop and manage work breakdown structure (WBS) of information technology projects.,2.7,2.0
16270,Develop technical specifications for data management programming and communicate needs to information technology staff.,3.5,2.5
16274,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",3.6666666666666665,2.5
16277,"Prepare data analysis listings and activity, performance, or progress reports.",3.375,3.5
16279,Monitor work productivity or quality to ensure compliance with standard operating procedures.,3.4,3.0
16280,"Generate data queries, based on validation checks or errors and omissions identified during data entry, to resolve identified problems.",4.0,3.0
16283,Analyze clinical data using appropriate statistical tools.,3.6666666666666665,3.0
16284,"Process clinical data, including receipt, entry, verification, or filing of information.",3.5714285714285716,3.0
18989,"Analyze network data to determine network usage, disk space availability, or server function.",3.3333333333333335,4.666666666666667
18991,Configure security settings or access permissions for groups or individuals.,2.3333333333333335,4.666666666666667
18992,Configure wide area network (WAN) or local area network (LAN) routers or related equipment.,2.0,2.0
18993,Document network support activities.,3.5,4.5
19002,Troubleshoot network or connectivity problems for users or user groups.,2.4285714285714284,2.5
19003,Analyze and report computer network security breaches or attempted breaches.,2.5,3.3333333333333335
19004,Back up network data.,2.8333333333333335,4.5
19010,Provide telephone support related to networking or connectivity issues.,3.8,3.6666666666666665
19011,Research hardware or software products to meet technical networking or security needs.,2.0,3.3333333333333335
20950,Troubleshoot program and system malfunctions to restore normal functioning.,2.5454545454545454,3.6666666666666665
21049,Develop Web sites.,2.6666666666666665,4.0
